"lobbyistname","lobbyistlastname","lobbyistfirstname","lobbyistfirmname","lobbyistzip","primarylobbyistid","annuallobbyistregistrationid","billnumber","billinformation","clientname","clientzip","position","reportmonth","reportduedate","fiscalyear","rundate"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20245084332","SB25-086","Protections for Users of Social Media","Meta Platforms, Inc","78701","Amending 01/30/2025 to 06/30/2025","April","2025-05-15T00:00:00.000","2024-2025","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20245084530","SB25-086","Protections for Users of Social Media","Meta Platforms, Inc","78701","Amending 01/30/2025 to 06/30/2025","June","2025-07-15T00:00:00.000","2024-2025","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20235076691","HB24-1058","Protect Privacy of Biological Data","Meta Platforms, Inc","78701","Monitoring 02/01/2024 to 02/26/2024, Amending 02/26/2024 to 06/30/2024","February","2024-03-15T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20235076682","HB24-1136","Healthier Social Media Use by Youth","Meta Platforms, Inc","78701","Amending 02/29/2024 to 06/30/2024","June","2024-07-15T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"Burkhart, Amber Janelle (Headwaters Strategies)","Burkhart","Amber","Headwaters Strategies","80264","20235028945","20235078454","HB24-1058","Protect Privacy of Biological Data","Meta Platforms, Inc","78701","Monitoring 02/01/2024 to 02/26/2024, Amending 02/26/2024 to 06/30/2024","February","2024-03-15T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"Burkhart, Amber Janelle (Headwaters Strategies)","Burkhart","Amber","Headwaters Strategies","80264","20235028945","20235078454","SB24-158","Social Media Protect Juveniles Disclosures Reports","Meta Platforms, Inc","78701","Amending 03/25/2024 to 06/30/2024","June","2024-07-15T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20235076695","HB24-1468","Artificial Intelligence & Biometric Technologies","Meta Platforms, Inc","78701","Monitoring 05/06/2024 to 06/30/2024","June","2024-07-15T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20245084332","SB25-070","Online Marketplaces & Third-Party Sellers","Meta Platforms, Inc","78701","Amending 02/17/2025 to 06/30/2025","May","2025-06-16T00:00:00.000","2024-2025","2026-03-13T00:00:00.000"
"Burkhart, Amber Janelle (Headwaters Strategies)","Burkhart","Amber","Headwaters Strategies","80264","20235028945","20235078454","SB24-158","Social Media Protect Juveniles Disclosures Reports","Meta Platforms, Inc","78701","Amending 03/25/2024 to 06/30/2024","May","2024-06-17T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20235076688","HB24-1136","Healthier Social Media Use by Youth","Meta Platforms, Inc","78701","Amending 02/29/2024 to 06/30/2024","June","2024-07-15T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20235076688","HB24-1468","Artificial Intelligence & Biometric Technologies","Meta Platforms, Inc","78701","Monitoring 05/06/2024 to 06/30/2024","May","2024-06-17T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20245084530","SB25-070","Online Marketplaces & Third-Party Sellers","Meta Platforms, Inc","78701","Amending 02/17/2025 to 06/30/2025","May","2025-06-16T00:00:00.000","2024-2025","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20245084272","HB25-1090","Protections Against Deceptive Pricing Practices","Meta Platforms, Inc","78701","Amending 02/10/2025 to 06/30/2025","March","2025-04-15T00:00:00.000","2024-2025","2026-03-13T00:00:00.000"
