"lobbyistname","lobbyistlastname","lobbyistfirstname","lobbyistfirmname","lobbyistzip","primarylobbyistid","annuallobbyistregistrationid","billnumber","billinformation","clientname","clientzip","position","reportmonth","reportduedate","fiscalyear","rundate"
"Enos, Colleen","Enos","Colleen",,"80107","20255000521","20255093417","SB26-051","Age Attestation on Computing Devices","Christian Home Educators of Colorado","80107","Monitoring 01/30/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Woodhouse, Caroline (Colorado Legislative Strategies)","Woodhouse","Caroline","Colorado Legislative Strategies","80203","20225093050","20255091145","SB26-051","Age Attestation on Computing Devices","Stride, Inc.","20171","Amending 02/06/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Coleman, Timothy (Coleman Legislative Advocacy LLC)","Coleman","Timothy","Coleman Legislative Advocacy LLC","80033","20245091694","20255085916","SB26-051","Age Attestation on Computing Devices","Luminate Broadband","80487","Monitoring 02/26/2026 to Ongoing, Monitoring 02/26/2026 to Ongoing","May","2026-06-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Aligned Values ADvantage LLC",,,"Aligned Values ADvantage LLC","80503","20255022108","20255093912","SB26-051","Age Attestation on Computing Devices","COLOR Action Fund","80204","Monitoring 02/06/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"WEIST, JEFFREY D (Weist Capitol Group, Inc.)","WEIST","JEFFREY","Weist Capitol Group, Inc.","80209","19987000348","20255092057","SB26-051","Age Attestation on Computing Devices","Colorado Cable Telecommunications Association","80209","Amending 02/11/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Long, Rebecca (Siegel Long Public Affairs, LLC)","Long","Rebecca","Siegel Long Public Affairs, LLC","80203","20165034049","20255089871","SB26-051","Age Attestation on Computing Devices","New Era Colorado","80204","Monitoring 02/04/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Hackenberger, Carrie (HB Strategies)","Hackenberger","Carrie","HB Strategies","80202","20195009710","20255095175","SB26-051","Age Attestation on Computing Devices","MPAA (Motion Picture Associaton of America)","20006","Amending 02/06/2026 to 02/19/2026, Opposing 02/19/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Coleman, Timothy (Coleman Legislative Advocacy LLC)","Coleman","Timothy","Coleman Legislative Advocacy LLC","80033","20245091694","20255085916","SB26-051","Age Attestation on Computing Devices","SECOM, Inc.","81050","Monitoring 02/26/2026 to Ongoing, Monitoring 02/26/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Hogan, Mary K (Fulcrum Group US)","Hogan","Mary","Fulcrum Group US","80202","20165008698","20255087122","SB26-051","Age Attestation on Computing Devices","Google LLC","94043","Supporting 02/10/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Bliesener, Emma (EB Public Affairs LLC)","Bliesener","Emma","EB Public Affairs LLC","80202","20245000616","20255085236","SB26-051","Age Attestation on Computing Devices","Cobalt","80222","Monitoring 02/12/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Enos, Colleen","Enos","Colleen",,"80107","20255000521","20255093417","SB26-051","Age Attestation on Computing Devices","Christian Home Educators of Colorado","80107","Monitoring 01/30/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Cook, Mariah Catherine (Sewald Hanfling Public Affairs)","Cook","Mariah","Sewald Hanfling Public Affairs","80204","20185000767","20255088144","SB26-051","Age Attestation on Computing Devices","Colorado Technology Association","80250","Amending 02/11/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"GOFF, ERIN E (HB Strategies)","GOFF","ERIN","HB Strategies","80202","20105000068","20255095166","SB26-051","Age Attestation on Computing Devices","Motion Picture Association of America -(MPAA)","20006","Opposing 02/19/2026 to Ongoing, Amending 02/06/2026 to 02/19/2026","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20255092795","SB26-051","Age Attestation on Computing Devices","Meta Platforms, Inc","78701","Monitoring 02/12/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"BRANDEBERRY, JENIFER (BRANDEBERRY MCKENNA PUBLIC AFFAIRS)","BRANDEBERRY","JENIFER","BRANDEBERRY MCKENNA PUBLIC AFFAIRS","80203","19967000534","20255087697","SB26-051","Age Attestation on Computing Devices","Comcast","80112","Amending 02/18/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Coleman, Timothy (Coleman Legislative Advocacy LLC)","Coleman","Timothy","Coleman Legislative Advocacy LLC","80033","20245091694","20255085916","SB26-051","Age Attestation on Computing Devices","Mountain View Electric Association","80831","Monitoring 02/26/2026 to Ongoing, Monitoring 02/26/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"CHASE, SCOTT M (Politicalworks, LLC)","CHASE","SCOTT","Politicalworks, LLC","80203","20075000173","20255087455","SB26-051","Age Attestation on Computing Devices","COMCAST CABLE COMPANY","80112","Amending 02/06/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
